assertion	agreement score
 19% Mehrwertsteuern auf Tampons zahlen zu müssen und nicht 7% ist eine eine dreiste Benachteiligung für weibliche Biologie wie Menstruation.	0,634146341
 Ab und zu eine erzieherische Ohrfeige hat noch niemand geschadet, auch nicht der Gattin.	0,024390244
 Abteilungen die von einem Geschlecht dominiert werden tendieren dazu sexistisch zu sein.	0,512195122
 Alle Feministinnen sind Lesben.	0
 Alle Mädchen lieben Pferde.	0
 Alle Menschen müssen bei gleicher Qualifikation dieselben Chancen haben, den Beruf ihrer Wahl auszuüben.	1
 Alleinerziehende Mütter sind Heldinnen.	0,829268293
 Alles was eine Frau tun muss, ist ihren Mann zu befriedigen	0,024390244
 Als Frau bist du halt die gefickte und als Mann bist du der fickende. Das zeigt schon wer aktiv und wer passiv in der Gesellschaft ist.	0,097560976
 Alte Männer haben ein Problem mit emanzipierten Frauen.	0,731707317
 Angela Merkel hat durch ihre "Gäste" die Situation von Frauen viel mehr verschlimmert als alle männlichen Kanzler vor ihr.	0,12195122
 Auch bei der Bundeswehr können Frauen das gleiche Leisten wie Männer.	0,87804878
 Auf "alle Frauen sind..." folgte noch nie eine Aussage von Wert.	0,609756098
 Bei der Bundeswehr sollen die Anforderungen für Männer und Frauen gleich sein.	0,487804878
 Bei der Wahl von Gleichstellungsbeauftragten sollte es immer eine Doppelspitze aus einem Mann und einer Frau geben.	0,780487805
 Bei einer Satzung oder einem Vertrag muss nicht generell die männliche und weibliche Form genannt werden.	0,536585366
 Bei gleicher Leistung haben Frauen und Männer gleiche Möglichkeiten.	0,243902439
 Bei gleicher Qualifikation sind Frauen zu bevorzugen, alles andere ist Diskriminierung.	0,243902439
 Beide Geschlechter sollten gleich bezahlt werden.	1
 Bereits individuell geringfügige Benachteiligungen aufgrund des Geschlechts können kumulativ schnell signifikant werden.	0,902439024
 Biologische Unterschiede zwischen den Geschlechtern entstehen durch Sozialisation.	0,292682927
 Das ganze sprachliche Genderzeugs ist Quatsch und lästig.	0,390243902
 Das Herabsenken physischer Mindeststandards für Frauen in Rettungsberufen ist gefährlich.	0,487804878
