assertion	agreement score
 19% Mehrwertsteuern auf Tampons zahlen zu müssen und nicht 7% ist eine eine dreiste Benachteiligung für weibliche Biologie wie Menstruation. 	0,35
 Ab und zu eine erzieherische Ohrfeige hat noch niemand geschadet, auch nicht der Gattin. 	0
 Abteilungen die von einem Geschlecht dominiert werden tendieren dazu sexistisch zu sein. 	0,5
 Alle Feministinnen sind Lesben. 	0,05
 Alle Mädchen lieben Pferde. 	0
 Alle Menschen müssen bei gleicher Qualifikation dieselben Chancen haben, den Beruf ihrer Wahl auszuüben. 	0,95
 Alleinerziehende Mütter sind Heldinnen. 	0,575
 Alles was eine Frau tun muss, ist ihren Mann zu befriedigen 	0
 Als Frau bist du halt die gefickte und als Mann bist du der fickende. Das zeigt schon wer aktiv und wer passiv in der Gesellschaft ist. 	0,1
 Alte Männer haben ein Problem mit emanzipierten Frauen. 	0,55
 Angela Merkel hat durch ihre "Gäste" die Situation von Frauen viel mehr verschlimmert als alle männlichen Kanzler vor ihr. 	0,175
 Auch bei der Bundeswehr können Frauen das gleiche Leisten wie Männer. 	0,575
 Auf "alle Frauen sind..." folgte noch nie eine Aussage von Wert. 	0,45
 Bei der Bundeswehr sollen die Anforderungen für Männer und Frauen gleich sein. 	0,6
 Bei der Wahl von Gleichstellungsbeauftragten sollte es immer eine Doppelspitze aus einem Mann und einer Frau geben. 	0,7
 Bei einer Satzung oder einem Vertrag muss nicht generell die männliche und weibliche Form genannt werden. 	0,775
 Bei gleicher Leistung haben Frauen und Männer gleiche Möglichkeiten. 	0,625
 Bei gleicher Qualifikation sind Frauen zu bevorzugen, alles andere ist Diskriminierung. 	0,025
 Beide Geschlechter sollten gleich bezahlt werden. 	0,875
 Bereits individuell geringfügige Benachteiligungen aufgrund des Geschlechts können kumulativ schnell signifikant werden. 	0,725
 Biologische Unterschiede zwischen den Geschlechtern entstehen durch Sozialisation. 	0,15
 Das ganze sprachliche Genderzeugs ist Quatsch und lästig. 	0,575
 Das Herabsenken physischer Mindeststandards für Frauen in Rettungsberufen ist gefährlich. 	0,65
 Das kirchliche Arbeitsrecht ist ein großes Hindernis für die Gleichstellung von Mann und Frau und sollte schon deswegen abgeschafft werden. 	0,75
 Das Mutterkreuz war im Kern der Sache ein wirksamer Anreiz zur Familiengründung und wird in Frankreich so ähnlich immer noch verliehen. 	0,325
 Das Nicht-Übereinstimmen von Geschlecht und Geschlechtsidentität ist wie eine biologische Krankheit zu behandeln. 	0,225
 Das Scheidungsrecht sollte Geschlechtsneutraler umgearbeitet werden, auch bzgl auf Sorgerecht. 	0,9
 Das Unterlassen von Gendern in Arbeiten schließt Frauen systematisch aus. 	0,125
 Das Vergewaltigungsopfer ist selbst dafür (teils) verantwortlich. 	0,05
 Das Ziel des Femismus ist Gleichberechtigung von Mann und Frau. 	0,525
 Dass es Frauen gibt, die stärker und in männerdominierten Sportarten besser sind als der Durchschnittsmann beweist, dass Frauen Männern in nichts nachstehen. 	0,55
 Den Frauen bei uns geht es besser als in anderen Ländern. Deswegen jammern die Frauen bei uns auf "hohem Niveau". 	0,45
 Der aktuelle Drang zur Emanzipation schlägt teilweise um in eine Rachsucht. 	0,625
 Der Druck, besonders männlich wirken zu müssen, schadet Männern. 	0,775
