assertion	hate speech scores
19% Mehrwertsteuern auf Tampons zahlen zu müssen und nicht 7% ist eine eine dreiste Benachteiligung für weibliche Biologie wie Menstruation.	-0,288888889
Ab und zu eine erzieherische Ohrfeige hat noch niemand geschadet, auch nicht der Gattin.	0,755555556
Abteilungen die von einem Geschlecht dominiert werden tendieren dazu sexistisch zu sein.	-0,088888889
Alle Feministinnen sind Lesben.	0,8
Alle Mädchen lieben Pferde.	0,133333333
Alle Menschen müssen bei gleicher Qualifikation dieselben Chancen haben, den Beruf ihrer Wahl auszuüben.	-0,688888889
Alleinerziehende Mütter sind Heldinnen.	-0,688888889
Alles was eine Frau tun muss, ist ihren Mann zu befriedigen	0,888888889
Als Frau bist du halt die gefickte und als Mann bist du der fickende. Das zeigt schon wer aktiv und wer passiv in der Gesellschaft ist.	0,866666667
Alte Männer haben ein Problem mit emanzipierten Frauen.	-0,2
Angela Merkel hat durch ihre "Gäste" die Situation von Frauen viel mehr verschlimmert als alle männlichen Kanzler vor ihr.	0
Auch bei der Bundeswehr können Frauen das gleiche Leisten wie Männer.	-0,6
Auf "alle Frauen sind..." folgte noch nie eine Aussage von Wert.	-0,066666667
Bei der Bundeswehr sollen die Anforderungen für Männer und Frauen gleich sein.	-0,288888889
Bei der Wahl von Gleichstellungsbeauftragten sollte es immer eine Doppelspitze aus einem Mann und einer Frau geben.	-0,377777778
Bei einer Satzung oder einem Vertrag muss nicht generell die männliche und weibliche Form genannt werden.	0,044444444
Bei gleicher Leistung haben Frauen und Männer gleiche Möglichkeiten.	-0,422222222
Bei gleicher Qualifikation sind Frauen zu bevorzugen, alles andere ist Diskriminierung.	-0,066666667
Beide Geschlechter sollten gleich bezahlt werden.	-0,711111111
Bereits individuell geringfügige Benachteiligungen aufgrund des Geschlechts können kumulativ schnell signifikant werden.	-0,422222222
Biologische Unterschiede zwischen den Geschlechtern entstehen durch Sozialisation.	-0,155555556
Das ganze sprachliche Genderzeugs ist Quatsch und lästig.	0,266666667
Das Herabsenken physischer Mindeststandards für Frauen in Rettungsberufen ist gefährlich.	0,044444444
Das kirchliche Arbeitsrecht ist ein großes Hindernis für die Gleichstellung von Mann und Frau und sollte schon deswegen abgeschafft werden.	-0,311111111
Das Mutterkreuz war im Kern der Sache ein wirksamer Anreiz zur Familiengründung und wird in Frankreich so ähnlich immer noch verliehen.	0,155555556
Das Nicht-Übereinstimmen von Geschlecht und Geschlechtsidentität ist wie eine biologische Krankheit zu behandeln.	0,2
Das Scheidungsrecht sollte Geschlechtsneutraler umgearbeitet werden, auch bzgl auf Sorgerecht.	-0,444444444
Das Unterlassen von Gendern in Arbeiten schließt Frauen systematisch aus.	-0,222222222
Das Vergewaltigungsopfer ist selbst dafür (teils) verantwortlich.	0,755555556
Das Ziel des Femismus ist Gleichberechtigung von Mann und Frau.	-0,688888889
Dass es Frauen gibt, die stärker und in männerdominierten Sportarten besser sind als der Durchschnittsmann beweist, dass Frauen Männern in nichts nachstehen.	-0,6
Den Frauen bei uns geht es besser als in anderen Ländern. Deswegen jammern die Frauen bei uns auf "hohem Niveau".	0,4
Der aktuelle Drang zur Emanzipation schlägt teilweise um in eine Rachsucht.	0,577777778
