assertion	hate speech score
 19% Mehrwertsteuern auf Tampons zahlen zu müssen und nicht 7% ist eine eine dreiste Benachteiligung für weibliche Biologie wie Menstruation.	-0,291666667
 Ab und zu eine erzieherische Ohrfeige hat noch niemand geschadet, auch nicht der Gattin.	0,75
 Abteilungen die von einem Geschlecht dominiert werden tendieren dazu sexistisch zu sein.	-0,041666667
 Alle Feministinnen sind Lesben.	0,708333333
 Alle Mädchen lieben Pferde.	0
 Alle Menschen müssen bei gleicher Qualifikation dieselben Chancen haben, den Beruf ihrer Wahl auszuüben.	-0,625
 Alleinerziehende Mütter sind Heldinnen.	-0,541666667
 Alles was eine Frau tun muss, ist ihren Mann zu befriedigen	0,833333333
 Als Frau bist du halt die gefickte und als Mann bist du der fickende. Das zeigt schon wer aktiv und wer passiv in der Gesellschaft ist.	0,75
 Alte Männer haben ein Problem mit emanzipierten Frauen.	-0,291666667
 Angela Merkel hat durch ihre "Gäste" die Situation von Frauen viel mehr verschlimmert als alle männlichen Kanzler vor ihr.	-0,166666667
 Auch bei der Bundeswehr können Frauen das gleiche Leisten wie Männer.	-0,541666667
 Auf "alle Frauen sind..." folgte noch nie eine Aussage von Wert.	0,125
 Bei der Bundeswehr sollen die Anforderungen für Männer und Frauen gleich sein.	-0,041666667
 Bei der Wahl von Gleichstellungsbeauftragten sollte es immer eine Doppelspitze aus einem Mann und einer Frau geben.	-0,291666667
 Bei einer Satzung oder einem Vertrag muss nicht generell die männliche und weibliche Form genannt werden.	-0,083333333
 Bei gleicher Leistung haben Frauen und Männer gleiche Möglichkeiten.	-0,375
 Bei gleicher Qualifikation sind Frauen zu bevorzugen, alles andere ist Diskriminierung.	-0,041666667
 Beide Geschlechter sollten gleich bezahlt werden.	-0,625
 Bereits individuell geringfügige Benachteiligungen aufgrund des Geschlechts können kumulativ schnell signifikant werden.	-0,333333333
 Biologische Unterschiede zwischen den Geschlechtern entstehen durch Sozialisation.	-0,125
 Das ganze sprachliche Genderzeugs ist Quatsch und lästig.	0,166666667
 Das Herabsenken physischer Mindeststandards für Frauen in Rettungsberufen ist gefährlich.	0,041666667
 Das kirchliche Arbeitsrecht ist ein großes Hindernis für die Gleichstellung von Mann und Frau und sollte schon deswegen abgeschafft werden.	-0,291666667
 Das Mutterkreuz war im Kern der Sache ein wirksamer Anreiz zur Familiengründung und wird in Frankreich so ähnlich immer noch verliehen.	0,041666667
 Das Nicht-Übereinstimmen von Geschlecht und Geschlechtsidentität ist wie eine biologische Krankheit zu behandeln.	0,166666667
 Das Scheidungsrecht sollte Geschlechtsneutraler umgearbeitet werden, auch bzgl auf Sorgerecht.	-0,458333333
 Das Unterlassen von Gendern in Arbeiten schließt Frauen systematisch aus.	-0,125
 Das Vergewaltigungsopfer ist selbst dafür (teils) verantwortlich.	0,791666667
 Das Ziel des Femismus ist Gleichberechtigung von Mann und Frau.	-0,541666667
 Dass es Frauen gibt, die stärker und in männerdominierten Sportarten besser sind als der Durchschnittsmann beweist, dass Frauen Männern in nichts nachstehen.	-0,541666667
 Den Frauen bei uns geht es besser als in anderen Ländern. Deswegen jammern die Frauen bei uns auf "hohem Niveau".	0,291666667
 Der aktuelle Drang zur Emanzipation schlägt teilweise um in eine Rachsucht.	0,541666667
 Der Druck, besonders männlich wirken zu müssen, schadet Männern.	-0,458333333
 Der Feminismus schadet der Gesellschaft massiv, weil eine gesunde Gesellschaft starke Familien und eine gesunde Anzahl Kinder (2.1 Geburten pro Frau) braucht um zu überleben. Während eine Gleichberechtigung von Frauen etwas positives ist, zwing die neue soziale Realität Frauen sich gegen Kinder/Familie zu entscheiden, was langfristig der Gesellschaft enormen Schaden zufügt. Auch für die Frauen selbst ist die "neue Freiheit" potential nicht besser als das alte, starre Rollenbild.	0,208333333
 Der Gender Pay Gap existiert nicht / lässt sich rational begründen.	-0,125
 Der Gender Pay Gap ist keine systematische Benachteiligung von Frauen, sondern Resultat der eigenen Entscheidungen von Frauen (Im Durchschnitt kürzere Arbeitswege, weniger Arbeitsstunden, geringere Wettkampfbereitschaft, weniger Patente, weniger Gehaltserhöhungsanfragen, ...).	0,5
 Der Mann ist für das Finanzielle zuständig.	0,583333333
 Der neue Feminismus ist eine von der CIA geförderte und verbreitete Ideologie und dient der psychologischen Kriegsführung.	0,333333333
 Der Plan dass deutsche Frauen mehr arbeiten soll nur dafür sorgen dass weniger Kinder zur Welt kommen. Dann ist mehr Platz für die "Merkelgäste".	0,333333333
 Der Wandel hin zur Karrierefrau ist verantwortlich für den Geburtenrückgang in den Industrieländern.	0,166666667
 Der Weltfrauentag ist großer Unsinn, solange es keinen dementsprechenden Weltmännertag gibt, der die Probleme männlicher Personen in unserer Gesellschaft thematisiert.	0,041666667
 Der Wunsch nach einem starken Mann steht mit der aktuellen Feminismus-Debatte im absoluten Widerspruch.	-0,041666667
 Derzeitige Darstellung von Gleichstellungsfragen in den Medien ist einseitig und zum Vorteil von Frauen.	-0,041666667
 Die #metoo-Bewegung ist hysterisch.	0,416666667
 Die allgemeine Bezeichnung eines Berufes (z.B. der Bäcker, der Postbote, der Polizist) ist geschlechtsneutral. Sie stellt kein Geschlecht über das andere.	-0,25
 Die Aussage: "Aber was ist mit uns Männern?" ist völlig hirnverbrannt.	-0,125
 Die ausufernde Unkorrektheit von Präsident Trump (und die Toleranz der Gesellschaft gegenüber jene) bezüglich Frauen hat nichts mit einem Patriarchat, sondern mehr mit der Tatsache zu tun, dass Personen in der westlichen Welt über Geld zu einem unglaublichen Maß an gesellschaftlicher Macht kommen können.	-0,25
 Die Denk- und Handlungsweisen beider Geschlechter unterscheiden sind nur gering.	-0,041666667
 Die Diskriminierung / Nachteile von Männern wird / werden viel zu wenig in der Öffentlichkeit und von FeministInnen thematisiert, besonders im Vergleich zur Benachteiligungen von Frauen.	-0,166666667
 Die Diskussion um Vokabeln lenkt von der eigentlichen gesellschaftlichen Problematik ab: Akzeptanz.	-0,333333333
 Die Erwartungen, die man an einer Frau hat hinsichtlich was sie im Haushalt zu erledigen hat und wie sie ihr Kind zu erziehen hat, hat einen starken Einfluss auf ihre Karriere - wie lange sie in vor Ort ihre Arbeit verrichtet und ihre Arbeit von den Kollegen anerkannt wird und somit auch ihre Aufstiegschancen und die Frauenquote in den Führungspositionen.	-0,25
 Die Feminismusbewegung pickt sich die Rosinen heraus, ohne tatsächliche Gleichstellung in beide Richtungen anzustreben.	0,25
 Die feministische Bewegung war notwendig (erste und zweite Welle), sie hat ihre Aufgabe voll erfüllt. Wir brauchen das jetzt nicht mehr.	0,041666667
 Die Frauenquote ist ansatzweise sinnvoll.	-0,458333333
 Die Frauenquote ist Quatsch.	0,208333333
 Die Frauenquote schadet dem Emanzipationsansinnen mehr, als sie nutzt.	-0,083333333
 Die Führung der Bundeswehr reagiert mittlerweile "panisch" und mit völlig übertriebenem Aktionismus auf jeden Vorwurf der Diskriminierung. Das führt am Ziel vorbei.	0,333333333
 Die Gender-Pay-Gap ist kein Problem des Sexismus oder ein Konstrukt des Patriarchats.	-0,083333333
 Die Geschlechter sind nicht immer gleich, jedoch nicht minderwertiger.	-0,541666667
 Die geschlechtsspezifschen Gesundheitsrisiken von Männern und Frauen werden in der Gesellschaft gleichwertig wahrgenommen.	-0,208333333
 Die Gesellschaft bürdet Frauen zu viel Verantwortung für Nachwuchs auf.	-0,208333333
 Die Gleichberechtigung der Frau ist nicht durch Quoten und Gesetztesvorgaben zu erreichen, sondern erfordert ein radikales gesamtgesellschaftliches umdenken.	-0,375
 Die Kindheit sollte nicht von den Geschlechterrollen beeinflusst werden (Bsp.: Junge bekommt Experimenrierkasten / Mädchen Puppe geschenkt)	-0,416666667
 Die meisten Frauen haben kein tieferes Interesse an Dingen außerhalb ihres sozialen Nahbereichs.	0,416666667
 Die meisten Männer sind frauenfeindlich, ohne sich dessen bewusst zu sein.	-0,166666667
 Die meisten Männerberufe sind zu hart für Frauen.	0,125
 Die Politik tut alles um die Gleichstellung der Frau zu realisieren.	-0,125
 Die Regierung setzt sich nicht genug für die Gleichberechtigung der Geschlechter ein.	-0,291666667
 Die sozialen Medien beeinflussen die Stereotypen vom Frausein und Mannsein stark und dieses beeinflusst auch die Jugend, die aufwächst, während sie solchen Werten ausgesetzt ist.	-0,291666667
 Die Unterschiede zwischen Mann und Frau sind vor allem biologisch bedingt.	-0,125
